sender_username,reciever_username,message,channel
@buyer,@bogoman,Do you ship internationally?,instagram
@ashdev,@merchant,What payment methods do you accept?,facebook
@customer,@ashdev,Do you have this item in stock?,instagram
@seller,@buyer,How can I contact customer support?,email
@helloworld,@ashdev,What payment methods do you accept?,instagram
@ashdev,@ashdev,How can I contact customer support?,facebook
@bogoman,@helloworld,Can I track my order?,instagram
@vendor,@merchant,How can I contact customer support?,facebook
@meowcat,@seller,Do you have this item in stock?,whatsapp
@merchant,@ashdev,What is the return policy?,facebook
@customer,@helloworld,When will my order arrive?,email
@seller,@shopper,How are you doing?,instagram
@helloworld,@shopper,Is there a warranty on this product?,facebook
@seller,@ashdev,Do you have this item in stock?,facebook
@helloworld,@shopper,Do you have this item in stock?,whatsapp
@meowcat,@helloworld,Do you ship internationally?,email
@helloworld,@customer,How can I contact customer support?,email
@seller,@meowcat,When will my order arrive?,email
@customer,@meowcat,Is there a warranty on this product?,facebook
@customer,@buyer,What payment methods do you accept?,instagram
@helloworld,@bogoman,Do you have this item in stock?,facebook
@ashdev,@merchant,What payment methods do you accept?,facebook
@customer,@ashdev,Can I track my order?,whatsapp
@shopper,@meowcat,Is there a warranty on this product?,whatsapp
@seller,@customer,Is there a warranty on this product?,email
@helloworld,@seller,What payment methods do you accept?,instagram
@shopper,@bogoman,What payment methods do you accept?,whatsapp
@bogoman,@vendor,Is there a warranty on this product?,whatsapp
@bogoman,@customer,Is there a warranty on this product?,whatsapp
@buyer,@meowcat,What is the return policy?,facebook
@customer,@seller,When will my order arrive?,whatsapp
@helloworld,@helloworld,What payment methods do you accept?,facebook
@vendor,@vendor,Do you have this item in stock?,instagram
@seller,@vendor,How can I contact customer support?,instagram
@helloworld,@ashdev,Do you have discounts available?,instagram
@vendor,@merchant,Do you have discounts available?,facebook
@vendor,@seller,How are you doing?,whatsapp
@meowcat,@ashdev,What is the return policy?,instagram
@bogoman,@shopper,When will my order arrive?,email
@ashdev,@helloworld,What payment methods do you accept?,email
@helloworld,@meowcat,What payment methods do you accept?,whatsapp
@vendor,@meowcat,Is there a warranty on this product?,whatsapp
@shopper,@seller,Do you have discounts available?,facebook
@merchant,@shopper,How are you doing?,email
@bogoman,@seller,Do you have discounts available?,email
@customer,@meowcat,Do you have this item in stock?,whatsapp
@customer,@buyer,Do you have this item in stock?,whatsapp
@buyer,@ashdev,Do you have discounts available?,facebook
@ashdev,@helloworld,How are you doing?,whatsapp
@customer,@seller,Do you ship internationally?,whatsapp
@shopper,@buyer,When will my order arrive?,whatsapp
@helloworld,@bogoman,When will my order arrive?,whatsapp
@vendor,@bogoman,Do you have discounts available?,instagram
@meowcat,@buyer,Do you have this item in stock?,instagram
@customer,@helloworld,What is the return policy?,instagram
@helloworld,@seller,How are you doing?,email
@buyer,@meowcat,What payment methods do you accept?,instagram
@bogoman,@shopper,What payment methods do you accept?,instagram
@buyer,@helloworld,Do you have discounts available?,facebook
@shopper,@customer,When will my order arrive?,email
@customer,@merchant,Do you ship internationally?,email
@shopper,@merchant,Is there a warranty on this product?,instagram
@vendor,@helloworld,What payment methods do you accept?,whatsapp
@ashdev,@customer,What payment methods do you accept?,email
@customer,@vendor,Is there a warranty on this product?,instagram
@buyer,@meowcat,What payment methods do you accept?,email
@helloworld,@ashdev,Can I track my order?,facebook
@vendor,@merchant,What payment methods do you accept?,whatsapp
@buyer,@vendor,Do you ship internationally?,whatsapp
@customer,@bogoman,How can I contact customer support?,facebook
@meowcat,@bogoman,Can I track my order?,facebook
@helloworld,@bogoman,How can I contact customer support?,email
@meowcat,@ashdev,Do you have discounts available?,whatsapp
@bogoman,@helloworld,How can I contact customer support?,email
@seller,@merchant,What payment methods do you accept?,whatsapp
@buyer,@buyer,Can I track my order?,instagram
@meowcat,@helloworld,How can I contact customer support?,facebook
@vendor,@helloworld,How are you doing?,facebook
@customer,@customer,Do you have this item in stock?,instagram
@bogoman,@meowcat,Do you have this item in stock?,facebook
@bogoman,@meowcat,What payment methods do you accept?,whatsapp
@customer,@helloworld,Can I track my order?,instagram
@shopper,@meowcat,What is the return policy?,whatsapp
@seller,@vendor,Can I track my order?,whatsapp
@vendor,@vendor,Do you have this item in stock?,whatsapp
@meowcat,@shopper,How are you doing?,facebook
@bogoman,@buyer,When will my order arrive?,whatsapp
@bogoman,@seller,Can I track my order?,instagram
@customer,@bogoman,How can I contact customer support?,email
@buyer,@meowcat,How are you doing?,whatsapp
@ashdev,@seller,How can I contact customer support?,instagram
@merchant,@seller,How are you doing?,email
@seller,@customer,How are you doing?,email
@shopper,@ashdev,Do you ship internationally?,whatsapp
@shopper,@vendor,When will my order arrive?,whatsapp
@merchant,@bogoman,Do you ship internationally?,instagram
@seller,@merchant,How can I contact customer support?,whatsapp
@merchant,@shopper,What is the return policy?,email
@customer,@bogoman,Do you ship internationally?,instagram
@helloworld,@shopper,Do you have discounts available?,instagram
@vendor,@meowcat,How are you doing?,facebook
@helloworld,@customer,What payment methods do you accept?,whatsapp
@merchant,@customer,Do you ship internationally?,facebook
@customer,@meowcat,What is the return policy?,facebook
@merchant,@meowcat,How are you doing?,instagram
@helloworld,@vendor,Do you have discounts available?,email
@customer,@merchant,Do you have discounts available?,whatsapp
@bogoman,@merchant,Is there a warranty on this product?,email
@merchant,@vendor,What is the return policy?,email
@bogoman,@meowcat,Do you have this item in stock?,instagram
@helloworld,@seller,Is there a warranty on this product?,facebook
@merchant,@customer,What payment methods do you accept?,instagram
@merchant,@merchant,Is there a warranty on this product?,facebook
@vendor,@ashdev,What payment methods do you accept?,instagram
@vendor,@vendor,Can I track my order?,whatsapp
@buyer,@ashdev,Can I track my order?,facebook
@bogoman,@customer,Do you have this item in stock?,whatsapp
@vendor,@vendor,Is there a warranty on this product?,whatsapp
@merchant,@shopper,How are you doing?,instagram
@helloworld,@meowcat,What payment methods do you accept?,instagram
@bogoman,@seller,How can I contact customer support?,instagram
@merchant,@merchant,Do you ship internationally?,whatsapp
@bogoman,@helloworld,How can I contact customer support?,email
@customer,@shopper,How are you doing?,instagram
@buyer,@merchant,What is the return policy?,whatsapp
@seller,@merchant,Do you ship internationally?,facebook
@bogoman,@helloworld,Is there a warranty on this product?,facebook
@seller,@seller,How are you doing?,facebook
@bogoman,@seller,Do you have discounts available?,instagram
@bogoman,@customer,How can I contact customer support?,instagram
@ashdev,@bogoman,What payment methods do you accept?,whatsapp
@vendor,@helloworld,How can I contact customer support?,instagram
@bogoman,@vendor,How can I contact customer support?,facebook
@merchant,@vendor,Do you have discounts available?,whatsapp
@bogoman,@meowcat,Do you have discounts available?,instagram
@vendor,@ashdev,What payment methods do you accept?,whatsapp
@customer,@seller,Do you ship internationally?,email
@helloworld,@merchant,How can I contact customer support?,instagram
@bogoman,@bogoman,Do you have discounts available?,whatsapp
@ashdev,@buyer,What is the return policy?,email
@helloworld,@buyer,Do you have this item in stock?,facebook
@merchant,@seller,How can I contact customer support?,email
@buyer,@customer,When will my order arrive?,email
@meowcat,@shopper,Is there a warranty on this product?,email
@buyer,@merchant,Do you have this item in stock?,email
@shopper,@helloworld,When will my order arrive?,instagram
@vendor,@buyer,Do you ship internationally?,whatsapp
@shopper,@bogoman,Can I track my order?,whatsapp
@customer,@seller,Is there a warranty on this product?,email
@seller,@vendor,What is the return policy?,instagram
@bogoman,@vendor,How can I contact customer support?,facebook
@customer,@buyer,How can I contact customer support?,instagram
@meowcat,@buyer,What payment methods do you accept?,instagram
@buyer,@buyer,How are you doing?,instagram
@helloworld,@meowcat,How can I contact customer support?,email
@ashdev,@seller,Do you have this item in stock?,email
@helloworld,@customer,Do you have discounts available?,instagram
@customer,@helloworld,How can I contact customer support?,facebook
@vendor,@customer,Do you ship internationally?,facebook
@helloworld,@buyer,When will my order arrive?,email
@customer,@bogoman,Do you ship internationally?,instagram
@buyer,@ashdev,What payment methods do you accept?,instagram
@meowcat,@vendor,How are you doing?,whatsapp
@ashdev,@vendor,Do you have this item in stock?,whatsapp
@meowcat,@buyer,Do you have this item in stock?,email
@meowcat,@ashdev,Can I track my order?,whatsapp
@merchant,@shopper,Do you have discounts available?,facebook
@seller,@shopper,How are you doing?,whatsapp
@seller,@helloworld,What is the return policy?,email
@buyer,@vendor,How are you doing?,email
@bogoman,@vendor,What is the return policy?,whatsapp
@shopper,@merchant,Do you ship internationally?,instagram
@bogoman,@ashdev,Do you have discounts available?,whatsapp
@helloworld,@seller,Is there a warranty on this product?,facebook
@buyer,@seller,How are you doing?,instagram
@merchant,@merchant,Do you ship internationally?,email
@bogoman,@customer,How are you doing?,whatsapp
@meowcat,@helloworld,Do you have discounts available?,instagram
@merchant,@merchant,What payment methods do you accept?,email
@ashdev,@bogoman,What is the return policy?,instagram
@buyer,@customer,Can I track my order?,facebook
@helloworld,@buyer,Do you have discounts available?,instagram
@buyer,@vendor,Do you ship internationally?,whatsapp
@bogoman,@ashdev,How can I contact customer support?,whatsapp
@customer,@ashdev,Do you have discounts available?,facebook
@bogoman,@vendor,Do you ship internationally?,instagram
@vendor,@meowcat,Do you have this item in stock?,instagram
@ashdev,@helloworld,Do you have discounts available?,email
@shopper,@customer,Do you have discounts available?,email
@meowcat,@ashdev,What payment methods do you accept?,facebook
@meowcat,@meowcat,Do you have this item in stock?,instagram
@merchant,@helloworld,Do you have this item in stock?,email
@bogoman,@ashdev,How are you doing?,whatsapp
@meowcat,@ashdev,Do you have discounts available?,email
@bogoman,@helloworld,What payment methods do you accept?,email
@bogoman,@ashdev,What is the return policy?,email
@helloworld,@merchant,What is the return policy?,whatsapp
@meowcat,@shopper,Can I track my order?,instagram
@vendor,@merchant,Do you have discounts available?,whatsapp
@helloworld,@helloworld,When will my order arrive?,facebook
@helloworld,@meowcat,How are you doing?,whatsapp
@ashdev,@buyer,Can I track my order?,whatsapp
@seller,@bogoman,Can I track my order?,whatsapp
@customer,@customer,Is there a warranty on this product?,instagram
@ashdev,@buyer,How can I contact customer support?,whatsapp
@buyer,@shopper,Do you have discounts available?,facebook
@bogoman,@customer,What payment methods do you accept?,whatsapp
@customer,@bogoman,What payment methods do you accept?,facebook
@helloworld,@meowcat,When will my order arrive?,facebook
@customer,@vendor,Do you have discounts available?,email
@ashdev,@vendor,Can I track my order?,whatsapp
@shopper,@merchant,How are you doing?,whatsapp
@shopper,@bogoman,What payment methods do you accept?,instagram
@bogoman,@vendor,Do you have discounts available?,whatsapp
@seller,@shopper,What payment methods do you accept?,whatsapp
@helloworld,@ashdev,What is the return policy?,email
@seller,@vendor,What payment methods do you accept?,instagram
@seller,@shopper,What payment methods do you accept?,instagram
@bogoman,@vendor,Do you have discounts available?,email
@meowcat,@bogoman,Do you have discounts available?,whatsapp
@buyer,@bogoman,When will my order arrive?,instagram
@buyer,@helloworld,Do you ship internationally?,email
@customer,@bogoman,Can I track my order?,instagram
@vendor,@buyer,Do you ship internationally?,whatsapp
@seller,@customer,What is the return policy?,whatsapp
@helloworld,@helloworld,What payment methods do you accept?,facebook
@vendor,@customer,How can I contact customer support?,email
@vendor,@seller,Can I track my order?,facebook
@vendor,@meowcat,What payment methods do you accept?,facebook
@customer,@helloworld,What payment methods do you accept?,email
@merchant,@helloworld,Do you have discounts available?,instagram
@bogoman,@customer,When will my order arrive?,facebook
@customer,@bogoman,Is there a warranty on this product?,email
@meowcat,@buyer,Do you ship internationally?,facebook
@buyer,@helloworld,Is there a warranty on this product?,email
@customer,@customer,What is the return policy?,instagram
@bogoman,@seller,Do you ship internationally?,whatsapp
@merchant,@seller,How are you doing?,instagram
@helloworld,@meowcat,How are you doing?,whatsapp
@seller,@merchant,How are you doing?,whatsapp
@vendor,@helloworld,How are you doing?,instagram
@seller,@shopper,How are you doing?,instagram
@shopper,@shopper,When will my order arrive?,email
@buyer,@merchant,Do you ship internationally?,instagram
@ashdev,@shopper,Do you ship internationally?,facebook
@helloworld,@shopper,When will my order arrive?,facebook
@helloworld,@shopper,Do you have this item in stock?,email
@helloworld,@meowcat,What payment methods do you accept?,email
@buyer,@seller,Can I track my order?,whatsapp
@shopper,@merchant,How can I contact customer support?,whatsapp
@seller,@vendor,What is the return policy?,email
@shopper,@bogoman,How can I contact customer support?,facebook
@shopper,@bogoman,Do you have this item in stock?,instagram
@seller,@seller,How can I contact customer support?,facebook
@vendor,@vendor,Do you have discounts available?,whatsapp
@shopper,@bogoman,What payment methods do you accept?,instagram
@shopper,@vendor,Do you ship internationally?,email
@buyer,@buyer,Do you ship internationally?,email
@merchant,@merchant,Do you have this item in stock?,whatsapp
@shopper,@ashdev,What payment methods do you accept?,whatsapp
@meowcat,@vendor,Is there a warranty on this product?,email
@meowcat,@bogoman,Do you have this item in stock?,instagram
@customer,@buyer,What is the return policy?,email
@shopper,@meowcat,How can I contact customer support?,whatsapp
@merchant,@meowcat,Do you ship internationally?,whatsapp
@shopper,@bogoman,Can I track my order?,email
@vendor,@meowcat,Is there a warranty on this product?,instagram
@helloworld,@helloworld,Do you have discounts available?,instagram
@vendor,@bogoman,When will my order arrive?,whatsapp
@shopper,@ashdev,Do you have this item in stock?,instagram
@ashdev,@buyer,Do you ship internationally?,whatsapp
@meowcat,@customer,Do you have discounts available?,instagram
@vendor,@helloworld,Can I track my order?,email
@shopper,@helloworld,Can I track my order?,whatsapp
@shopper,@ashdev,Is there a warranty on this product?,email
@customer,@seller,How can I contact customer support?,whatsapp
@merchant,@bogoman,What is the return policy?,facebook
@vendor,@shopper,Do you have this item in stock?,whatsapp
@customer,@customer,What is the return policy?,whatsapp
@helloworld,@vendor,How are you doing?,instagram
@bogoman,@buyer,Do you have this item in stock?,email
@bogoman,@buyer,Can I track my order?,facebook
@shopper,@meowcat,When will my order arrive?,facebook
@customer,@shopper,Is there a warranty on this product?,email
@shopper,@helloworld,What payment methods do you accept?,whatsapp
@seller,@merchant,How can I contact customer support?,email
@bogoman,@vendor,Do you have this item in stock?,email
@helloworld,@meowcat,How are you doing?,instagram
@customer,@helloworld,Can I track my order?,instagram
@merchant,@merchant,Is there a warranty on this product?,whatsapp
@helloworld,@customer,Do you have this item in stock?,facebook
@seller,@ashdev,When will my order arrive?,whatsapp
@shopper,@merchant,What is the return policy?,instagram
@vendor,@meowcat,Is there a warranty on this product?,facebook
@helloworld,@merchant,Do you ship internationally?,facebook
@helloworld,@merchant,Can I track my order?,email
@customer,@helloworld,Do you have discounts available?,instagram
@merchant,@vendor,How are you doing?,instagram
@seller,@bogoman,How can I contact customer support?,facebook
@bogoman,@shopper,Is there a warranty on this product?,facebook
@meowcat,@shopper,Do you ship internationally?,email
@buyer,@customer,Is there a warranty on this product?,facebook
@customer,@seller,How can I contact customer support?,facebook
@bogoman,@bogoman,What is the return policy?,email
@meowcat,@helloworld,Is there a warranty on this product?,instagram
@meowcat,@vendor,Do you have discounts available?,facebook
@vendor,@ashdev,Do you ship internationally?,email
@vendor,@buyer,What payment methods do you accept?,email
@seller,@buyer,Is there a warranty on this product?,email
@merchant,@buyer,What is the return policy?,instagram
@merchant,@customer,Is there a warranty on this product?,whatsapp
@meowcat,@seller,Do you have discounts available?,facebook
@vendor,@buyer,What is the return policy?,facebook
@helloworld,@buyer,Do you ship internationally?,email
@buyer,@buyer,Is there a warranty on this product?,email
@helloworld,@bogoman,How can I contact customer support?,email
@meowcat,@helloworld,Do you ship internationally?,facebook
@seller,@customer,Do you ship internationally?,email
@ashdev,@seller,When will my order arrive?,email
@buyer,@merchant,Do you have this item in stock?,whatsapp
@shopper,@customer,Do you ship internationally?,email
@buyer,@buyer,How can I contact customer support?,instagram
@shopper,@helloworld,Do you ship internationally?,instagram
@meowcat,@seller,When will my order arrive?,email
@merchant,@bogoman,Do you ship internationally?,email
@vendor,@vendor,Do you have discounts available?,instagram
@buyer,@bogoman,How can I contact customer support?,facebook
@helloworld,@buyer,When will my order arrive?,facebook
@seller,@helloworld,What is the return policy?,instagram
@meowcat,@ashdev,Do you have this item in stock?,instagram
@buyer,@meowcat,Do you have discounts available?,instagram
@bogoman,@vendor,When will my order arrive?,facebook
@shopper,@merchant,When will my order arrive?,instagram
@shopper,@merchant,When will my order arrive?,instagram
@merchant,@vendor,What is the return policy?,email
@seller,@vendor,What is the return policy?,whatsapp
@ashdev,@vendor,How are you doing?,instagram
@shopper,@meowcat,When will my order arrive?,instagram
@shopper,@helloworld,How are you doing?,whatsapp
@buyer,@shopper,What payment methods do you accept?,email
@buyer,@helloworld,Do you have discounts available?,whatsapp
@seller,@shopper,How can I contact customer support?,instagram
@customer,@vendor,How are you doing?,whatsapp
@buyer,@ashdev,What payment methods do you accept?,whatsapp
@customer,@buyer,Is there a warranty on this product?,instagram
@buyer,@ashdev,How can I contact customer support?,instagram
@seller,@shopper,When will my order arrive?,whatsapp
@customer,@merchant,Is there a warranty on this product?,facebook
@bogoman,@merchant,Do you have this item in stock?,email
@bogoman,@meowcat,When will my order arrive?,facebook
@bogoman,@vendor,Is there a warranty on this product?,instagram
@vendor,@ashdev,What payment methods do you accept?,whatsapp
@customer,@helloworld,What payment methods do you accept?,email
@merchant,@merchant,Is there a warranty on this product?,facebook
@buyer,@shopper,What payment methods do you accept?,whatsapp
@seller,@buyer,When will my order arrive?,email
@seller,@customer,Do you have this item in stock?,instagram
@customer,@meowcat,Do you ship internationally?,email
@customer,@bogoman,What is the return policy?,facebook
@meowcat,@customer,How are you doing?,whatsapp
@seller,@bogoman,Do you ship internationally?,instagram
@helloworld,@merchant,What payment methods do you accept?,facebook
@merchant,@seller,When will my order arrive?,email
@seller,@buyer,Do you have this item in stock?,email
@bogoman,@ashdev,Is there a warranty on this product?,instagram
@meowcat,@shopper,What payment methods do you accept?,whatsapp
@buyer,@helloworld,What is the return policy?,whatsapp
@meowcat,@customer,What payment methods do you accept?,email
@merchant,@shopper,How can I contact customer support?,instagram
@ashdev,@seller,Do you have discounts available?,facebook
@customer,@seller,When will my order arrive?,facebook
@seller,@ashdev,What payment methods do you accept?,whatsapp
@meowcat,@helloworld,How are you doing?,instagram
@buyer,@bogoman,Is there a warranty on this product?,email
@shopper,@merchant,How can I contact customer support?,instagram
@vendor,@ashdev,Is there a warranty on this product?,whatsapp
@helloworld,@customer,Do you have this item in stock?,instagram
@buyer,@customer,How are you doing?,whatsapp
@shopper,@merchant,What is the return policy?,email
@buyer,@vendor,Can I track my order?,email
@ashdev,@helloworld,Is there a warranty on this product?,whatsapp
@customer,@ashdev,How are you doing?,instagram
@ashdev,@bogoman,What is the return policy?,whatsapp
@bogoman,@merchant,How can I contact customer support?,facebook
@ashdev,@seller,Can I track my order?,instagram
@meowcat,@shopper,How are you doing?,facebook
@merchant,@customer,When will my order arrive?,whatsapp
@vendor,@meowcat,How are you doing?,email
@merchant,@customer,Do you have this item in stock?,whatsapp
@buyer,@seller,Do you have this item in stock?,whatsapp
@seller,@meowcat,What payment methods do you accept?,facebook
@merchant,@vendor,Do you ship internationally?,facebook
@buyer,@bogoman,Can I track my order?,instagram
@seller,@customer,When will my order arrive?,email
@seller,@buyer,What payment methods do you accept?,instagram
@customer,@vendor,How can I contact customer support?,email
@shopper,@seller,Do you have discounts available?,facebook
@merchant,@buyer,What payment methods do you accept?,instagram
@buyer,@customer,How can I contact customer support?,facebook
@helloworld,@customer,Do you ship internationally?,facebook
@merchant,@merchant,Can I track my order?,whatsapp
@helloworld,@buyer,Do you have this item in stock?,whatsapp
@customer,@meowcat,Do you have discounts available?,whatsapp
@helloworld,@buyer,Do you ship internationally?,instagram
@customer,@merchant,Do you ship internationally?,facebook
@helloworld,@vendor,Do you have this item in stock?,whatsapp
@buyer,@vendor,Do you have this item in stock?,instagram
@customer,@meowcat,Can I track my order?,email
@seller,@merchant,Do you have this item in stock?,whatsapp
@customer,@meowcat,Do you have discounts available?,facebook
@ashdev,@vendor,Do you have this item in stock?,facebook
@helloworld,@vendor,How are you doing?,instagram
@vendor,@seller,Do you ship internationally?,instagram
@buyer,@merchant,When will my order arrive?,facebook
@ashdev,@vendor,How are you doing?,whatsapp
@shopper,@shopper,Is there a warranty on this product?,whatsapp
@shopper,@vendor,What is the return policy?,instagram
